party,region,voting_system,value
Conservative,PE,DMP,0.25
Green,PE,DMP,0.0
Liberal,PE,DMP,0.5
NDP,PE,DMP,0.25
Bloc,NL,DMP,0.0
Conservative,NL,DMP,0.125
Green,NL,DMP,0.0
Liberal,NL,DMP,0.625
NDP,NL,DMP,0.25
Bloc,YT,DMP,0.0
Conservative,YT,DMP,0.5
Green,YT,DMP,0.0
Liberal,YT,DMP,0.5
NDP,YT,DMP,0.0
Bloc,NT,DMP,0.0
Conservative,NT,DMP,0.0
Green,NT,DMP,0.0
Liberal,NT,DMP,0.5
NDP,NT,DMP,0.5
Bloc,NU,DMP,0.0
Conservative,NU,DMP,0.0
Green,NU,DMP,0.0
Liberal,NU,DMP,0.5
NDP,NU,DMP,0.5
Bloc,Canada,DMP,0.043859649122807015
Conservative,Canada,DMP,0.32456140350877194
Green,Canada,DMP,0.011695906432748537
Liberal,Canada,DMP,0.4093567251461988
NDP,Canada,DMP,0.21052631578947367
Bloc,AB,STV,0.0
Conservative,AB,STV,0.6764705882352942
Green,AB,STV,0.0
Liberal,AB,STV,0.23529411764705882
NDP,AB,STV,0.08823529411764706
Bloc,BC,STV,0.0
Conservative,BC,STV,0.30952380952380953
Green,BC,STV,0.047619047619047616
Liberal,BC,STV,0.38095238095238093
NDP,BC,STV,0.2619047619047619
Bloc,MB,STV,0.0
Conservative,MB,STV,0.42857142857142855
Green,MB,STV,0.0
Liberal,MB,STV,0.5
NDP,MB,STV,0.07142857142857142
Bloc,NB,STV,0.0
Conservative,NB,STV,0.3
Green,NB,STV,0.0
Liberal,NB,STV,0.5
NDP,NB,STV,0.2
Bloc,NL,STV,0.0
Conservative,NL,STV,0.0
Green,NL,STV,0.0
Liberal,NL,STV,0.8571428571428571
NDP,NL,STV,0.14285714285714285
Bloc,NS,STV,0.0
Conservative,NS,STV,0.18181818181818182
Green,NS,STV,0.0
Liberal,NS,STV,0.7272727272727273
NDP,NS,STV,0.09090909090909091
Bloc,NT,STV,0.0
Conservative,NT,STV,0.0
Green,NT,STV,0.0
Liberal,NT,STV,1.0
NDP,NT,STV,0.0
Bloc,NU,STV,0.0
Conservative,NU,STV,0.0
Green,NU,STV,0.0
Liberal,NU,STV,1.0
NDP,NU,STV,0.0
Bloc,ON,STV,0.0
Conservative,ON,STV,0.35537190082644626
Green,ON,STV,0.0
Liberal,ON,STV,0.47107438016528924
NDP,ON,STV,0.17355371900826447
Bloc,PE,STV,0.0
Conservative,PE,STV,0.25
Green,PE,STV,0.0
Liberal,PE,STV,0.75
NDP,PE,STV,0.0
Bloc,QC,STV,0.19230769230769232
Conservative,QC,STV,0.15384615384615385
